Individuals	age	gender	income	kids	Home	Subscribe	Segment
Ind1	47	Male	49482.81044	2	No	No	Suburb mix
Ind2	31	Male	35546.2883	1	Yes	No	Suburb mix
Ind3	43	Male	44169.18638	0	Yes	No	Suburb mix
Ind4	37	Female	81041.98639	1	No	No	Suburb mix
Ind5	41	Female	79353.01444	3	Yes	No	Suburb mix
Ind6	43	Male	58143.36332	4	Yes	No	Suburb mix
Ind7	38	Male	19282.23062	3	No	No	Suburb mix
Ind8	28	Male	47245.23847	0	No	No	Suburb mix
Ind9	44	Female	48332.51977	1	No	No	Suburb mix
Ind10	35	Female	52567.89026	0	Yes	No	Suburb mix
Ind11	48	Male	47917.56324	0	Yes	No	Suburb mix
Ind12	38	Female	65767.47829	0	No	No	Suburb mix
Ind13	33	Female	69337.6563	2	No	No	Suburb mix
Ind14	43	Male	57200.14564	3	Yes	No	Suburb mix
Ind15	39	Male	47099.77358	1	Yes	No	Suburb mix
Ind16	42	Male	57036.83733	3	Yes	No	Suburb mix
Ind17	42	Female	53127.05883	0	Yes	No	Suburb mix
Ind18	44	Female	41254.80429	0	Yes	No	Suburb mix
Ind19	38	Female	63528.47495	1	Yes	No	Suburb mix
Ind20	32	Female	52649.53718	2	Yes	Yes	Suburb mix
Ind21	48	Female	48197.80835	1	Yes	No	Suburb mix
Ind22	37	Female	46163.38332	6	Yes	No	Suburb mix
Ind23	30	Male	44151.93089	2	No	No	Suburb mix
Ind24	38	Female	56128.00884	2	Yes	No	Suburb mix
Ind25	33	Female	62519.89079	4	Yes	No	Suburb mix
Ind26	40	Female	51195.96838	1	Yes	No	Suburb mix
Ind27	27	Male	59440.87407	2	No	No	Suburb mix
Ind28	45	Male	57362.59022	0	No	No	Suburb mix
Ind29	35	Female	56112.12278	1	No	No	Suburb mix
Ind30	40	Female	76488.69967	2	No	No	Suburb mix
Ind31	54	Male	65717.43073	1	No	No	Suburb mix
Ind32	43	Female	45175.35618	3	No	No	Suburb mix
